vehicle_age,mileage,vehicle_type,engine_type,engine_temperature,rpm,engine_load,battery_voltage,oil_condition,brake_wear,tyre_pressure,service_count,distance_since_service,average_speed,hard_braking_events,hard_acceleration_events,driving_hours,overall_health_score,engine_failure,battery_failure,brake_failure,tyre_failure,maintenance_distance
1.3,25435.0,SUV,Petrol,96.6,3417.0,77.6,12.05,57.9,81.9,32.1,1,6671.0,59.2,15,10,2.7,44.7,0,0,1,1,1447.0
1.7,29193.0,Coupe,Diesel,89.9,2632.0,59.0,12.33,95.0,49.0,32.5,4,1293.0,50.0,6,5,1.4,76.4,1,0,0,0,6288.0
6.9,118284.0,Truck,Hybrid,89.8,2342.0,48.1,11.79,5.0,53.1,21.4,11,23948.0,25.0,1,2,4.0,8.0,1,1,0,1,150.0
3.6,60444.0,SUV,Petrol,92.1,2155.0,72.9,12.64,85.0,30.0,30.5,5,1949.0,51.3,2,3,1.8,79.5,0,0,0,0,7959.0
5.8,88671.0,Sedan,Hybrid,89.2,3028.0,47.8,12.7,57.6,71.2,32.2,6,6565.0,62.9,4,6,2.1,56.3,0,0,1,0,2510.0
5.8,88945.0,Sedan,Petrol,91.1,2516.0,30.9,12.3,83.7,76.9,30.3,7,3740.0,65.4,2,2,5.8,57.3,0,0,1,0,2351.0
3.3,44691.0,Sedan,Hybrid,85.6,2942.0,38.2,13.18,93.1,72.2,32.1,5,464.0,70.4,5,2,2.3,70.1,0,0,0,1,3128.0
5.1,65543.0,Hatchback,Hybrid,94.9,2857.0,39.7,12.25,91.4,37.2,32.2,5,1953.0,42.6,3,5,3.2,74.1,0,1,0,0,7393.0
3.1,59016.0,SUV,Petrol,98.2,2658.0,47.2,11.95,62.4,38.7,29.2,4,5607.0,46.4,6,5,1.2,51.0,0,0,0,0,3228.0
2.8,40491.0,Truck,Petrol,88.8,2782.0,49.2,11.93,71.8,86.6,30.3,3,3191.0,50.3,7,6,1.0,44.6,0,0,1,1,1058.0
2.4,49631.0,Sedan,Petrol,84.9,2617.0,44.2,11.57,36.5,7.6,26.7,4,12165.0,61.9,1,1,3.6,37.8,0,1,1,1,150.0
4.9,78360.0,Coupe,Diesel,95.2,2765.0,37.2,12.45,53.9,59.8,34.3,6,7665.0,48.3,9,5,2.2,53.4,0,0,1,0,2214.0
7.6,56370.0,Hatchback,Diesel,89.8,3250.0,39.4,13.09,83.6,33.6,35.4,4,1507.0,59.3,8,6,8.9,78.6,0,0,0,0,8397.0
7.1,91758.0,Sedan,Diesel,88.8,2497.0,37.9,11.18,5.0,16.3,26.9,8,18190.0,46.6,2,3,10.0,9.6,1,1,0,1,150.0
1.5,13210.0,Sedan,Petrol,91.0,2526.0,39.2,12.26,99.7,26.0,31.9,1,2196.0,42.1,2,4,1.3,83.0,0,0,0,0,8107.0
7.5,85446.0,Sedan,Petrol,86.6,2390.0,53.0,11.36,88.9,70.6,35.1,8,807.0,67.5,5,5,1.0,37.6,0,1,0,1,2002.0
2.0,28915.0,Sedan,Petrol,93.4,2672.0,29.7,12.5,75.1,48.0,30.8,2,4727.0,56.4,4,2,9.0,71.2,0,0,0,0,5324.0
4.1,68269.0,SUV,Petrol,86.4,2490.0,57.2,11.13,68.7,50.4,26.8,7,4144.0,62.5,4,3,4.3,35.1,0,1,0,1,2889.0
4.5,55322.0,SUV,Diesel,86.8,2430.0,35.4,12.34,71.2,34.8,30.0,4,4790.0,49.1,1,2,3.6,65.7,0,0,0,0,4580.0
1.3,22505.0,Sedan,Hybrid,100.8,2859.0,34.9,12.1,100.0,42.5,33.8,1,888.0,63.3,5,4,1.0,62.5,0,0,0,0,5682.0
3.3,37407.0,SUV,Diesel,92.2,1886.0,37.1,12.25,81.6,69.9,31.5,3,2689.0,37.1,2,1,10.0,59.5,0,0,0,0,2765.0
7.8,108810.0,Sedan,Petrol,105.2,2659.0,62.2,10.8,5.0,38.4,28.2,8,16966.0,39.4,4,6,1.7,8.0,1,1,1,0,150.0
0.6,5777.0,Sedan,Electric,65.0,2690.0,40.4,12.89,100.0,11.3,30.6,1,10725.0,65.2,4,1,5.3,76.8,0,0,0,0,1162.0
12.4,231215.0,SUV,Diesel,90.0,2723.0,49.3,12.27,65.2,11.7,37.2,20,1439.0,51.0,2,3,5.1,61.0,0,1,0,1,6622.0
0.8,11782.0,SUV,Electric,59.9,2402.0,34.4,12.5,100.0,41.1,32.2,1,2609.0,48.5,9,4,1.0,87.9,0,0,0,0,8258.0
4.4,58461.0,Truck,Diesel,87.3,2547.0,35.9,12.36,44.8,31.0,33.7,6,9336.0,39.1,4,0,2.0,66.0,0,0,0,0,1747.0
1.3,8284.0,Sedan,Petrol,93.9,2771.0,50.6,12.57,26.2,27.6,30.3,1,13085.0,63.3,4,3,1.1,53.6,0,0,0,0,235.0
4.8,67501.0,SUV,Petrol,96.9,2605.0,57.1,12.18,90.4,42.1,31.8,7,1383.0,78.1,2,1,1.0,67.6,0,0,0,0,6217.0
6.9,96539.0,SUV,Diesel,92.2,2319.0,37.1,11.66,59.4,27.5,35.6,9,6301.0,60.5,5,3,2.8,53.7,0,1,0,1,3031.0
5.9,69014.0,Sedan,Petrol,105.5,2303.0,22.4,11.07,69.6,41.7,37.1,6,4158.0,45.7,2,2,1.2,14.0,1,1,0,0,1053.0
6.4,146302.0,SUV,Petrol,85.4,2964.0,75.8,12.44,69.9,27.7,30.7,13,4723.0,71.4,2,2,1.7,72.1,0,0,0,0,5443.0
3.1,60685.0,Sedan,Diesel,97.5,2685.0,55.9,12.75,34.4,31.5,29.3,6,10636.0,57.0,2,2,1.0,50.4,0,0,0,0,648.0
1.4,12787.0,Sedan,Diesel,93.7,1904.0,43.1,12.51,69.1,36.4,33.9,2,6246.0,45.9,3,2,2.5,67.0,0,0,0,0,3796.0
7.8,77540.0,Hatchback,Diesel,92.8,2556.0,39.4,12.0,61.0,53.3,33.8,6,5694.0,69.9,0,0,8.9,56.8,1,1,0,0,3652.0
10.9,169974.0,Coupe,Petrol,105.5,2740.0,41.6,12.27,70.2,74.4,31.1,13,3509.0,49.5,9,7,4.0,32.7,0,1,1,0,1681.0
3.9,42016.0,Hatchback,Petrol,93.6,2929.0,27.7,12.44,90.2,64.1,33.4,3,2935.0,31.8,3,6,2.2,68.4,0,0,0,0,3927.0
2.9,35021.0,Sedan,Diesel,88.3,3188.0,57.1,10.96,47.0,80.3,29.6,4,8896.0,47.6,14,11,3.1,17.6,0,1,1,1,631.0
2.2,35696.0,Sedan,Electric,59.5,2693.0,39.7,11.82,100.0,65.3,22.4,3,16418.0,59.4,6,5,3.8,27.2,0,0,1,1,150.0
5.7,71423.0,Truck,Diesel,94.7,2619.0,65.6,12.11,86.6,65.4,34.6,5,568.0,42.0,5,6,3.8,61.1,0,0,0,0,3243.0
6.6,120478.0,SUV,Electric,53.4,1859.0,48.7,12.8,100.0,60.9,34.2,9,4602.0,25.8,3,2,2.6,67.8,1,1,0,0,4182.0
